Open,High,Low,Close,Volume,Ticker,Change
7780,7780,7780,7780,200,PPH,-0.145993413830955
7780,7780,7780,7780,0,PPH,0.0
8350,8350,7940,7940,600,PPH,0.020565552699228773
8000,8000,8000,8000,300,PPH,0.007556675062972307
7940,7940,7940,7940,200,PPH,-0.007499999999999951
8039,8039,8039,8039,1900,PPH,0.01246851385390424
8100,8100,8100,8100,800,PPH,0.007588008458763618
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8210,8410,8210,8410,1000,PPH,0.03827160493827164
8450,8450,8290,8450,1700,PPH,0.0047562425683709275
8450,8450,8450,8450,0,PPH,0.0
8450,8450,8450,8450,0,PPH,0.0
7830,7940,7830,7940,400,PPH,-0.06035502958579886
7940,7940,7940,7940,200,PPH,0.0
7940,7940,7940,7940,20,PPH,0.0
7940,7940,7940,7940,0,PPH,0.0
8000,8000,8000,8000,1500,PPH,0.007556675062972307
8000,8000,7940,7940,5100,PPH,-0.007499999999999951
7940,7940,7940,7940,0,PPH,0.0
8000,8000,7940,7940,900,PPH,0.0
8000,8000,8000,8000,0,PPH,0.007556675062972307
8000,8000,8000,8000,3000,PPH,0.0
8000,8000,8000,8000,0,PPH,0.0
8210,8210,8210,8210,1000,PPH,0.026250000000000107
8210,8210,8210,8210,13,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
7940,7940,7940,7940,200,PPH,-0.032886723507917215
7940,7940,7940,7940,0,PPH,0.0
7940,7940,7940,7940,13,PPH,0.0
8210,8210,8210,8210,100,PPH,0.03400503778337538
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,13400,PPH,0.0
8210,8210,8210,8210,3000,PPH,0.0
8210,8210,7830,7830,1500,PPH,-0.04628501827040199
8100,8100,8100,8100,0,PPH,0.034482758620689724
8210,8210,8210,8210,100,PPH,0.013580246913580174
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,3300,PPH,0.0
8210,8210,8210,8210,6500,PPH,0.0
9370,9370,8210,8210,1800,PPH,0.0
9430,9430,9430,9430,100,PPH,0.14859926918392197
9430,9430,9430,9430,0,PPH,0.0
9430,9430,9430,9430,0,PPH,0.0
9430,9430,9430,9430,0,PPH,0.0
10750,10750,10750,10750,100,PPH,0.13997879109225875
11680,11680,11680,11680,110,PPH,0.08651162790697664
9940,9940,9940,9940,113,PPH,-0.148972602739726
8450,11120,8450,8450,300,PPH,-0.14989939637826966
10650,10650,10650,10650,100,PPH,0.2603550295857988
12190,12190,9060,9060,2400,PPH,-0.14929577464788735
7940,7940,7940,7940,100,PPH,-0.12362030905077259
8710,8710,8000,8000,1100,PPH,0.007556675062972307
8710,8710,8710,8710,100,PPH,0.0887500000000001
9370,9370,7430,9370,100,PPH,0.07577497129735944
9370,9370,9370,9370,0,PPH,0.0
8560,8560,8560,8560,1000,PPH,-0.08644610458911417
8510,8510,8510,8510,1500,PPH,-0.005841121495327117
8039,8039,8039,8039,300,PPH,-0.055346650998824964
8450,8450,8450,8450,700,PPH,0.05112576191068552
8450,8450,8450,8450,0,PPH,0.0
8450,8450,8450,8450,0,PPH,0.0
8100,8100,8100,8100,100,PPH,-0.041420118343195256
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8100,8100,8100,8100,0,PPH,0.0
8039,8210,8039,8210,1100,PPH,0.013580246913580174
8210,8210,8210,8210,500,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8210,8210,8210,8210,0,PPH,0.0
8970,8970,8970,8970,702,PPH,0.09257003654080398
8970,8970,8970,8970,1,PPH,0.0
9110,9110,9110,9110,700,PPH,0.015607580824972045
9110,9110,9110,9110,2,PPH,0.0
9110,9110,9110,9110,1,PPH,0.0
9110,9110,9110,9110,0,PPH,0.0
9110,9110,9110,9110,0,PPH,0.0
9110,9110,9110,9110,0,PPH,0.0
9110,9110,9110,9110,0,PPH,0.0
8210,8210,8000,8000,1200,PPH,-0.12184412733260153
8450,8450,8450,8450,1000,PPH,0.05624999999999991
8450,8450,8450,8450,0,PPH,0.0
